"Manufacturer","Name","Value","RefDes"
"","JUMPER_2","","12VDrain"
"","JUMPER_3","","5VFan"
"","JUMPER_2","","5VoltPower"
"Atmel","ATMEGA8_TQFP","","ATMEGA"
"","CAP0402-CAP","0.1uF","C1"
"","CAP0603-CAP","0.1uF","C2"
"","CAP0402-CAP","0.1uF","C4"
"","CAP0402-CAP","10uF","C5"
"","CAP0402-CAP","10uF","C6"
"","CAP0402-CAP","0.1uF","C7"
"","AUDIO-JACK3","AUDIO-JACK3","DS18B20"
"","JUMPER_3","","FANMOSFET"
"","ARDUINO_SERIAL_PROGRAMSMD","Program","FTDI"
"","JUMPER_3","","HEATERMOSFET"
"","AVR_SPI_PRG_6SMT_MALE","ICSP","ISP"
"","JUMPER_3","","LCDJumper"
"","LED_0603","Blue","LED1"
"","LED_0603","Green","LED2"
"","LED_0603","Blue","LED3"
"","LED_0603","Blue","LED4"
"","LED0603 (LED)","Red","LED5"
"","LED0603 (LED)","Green","LED6"
"","RESISTOR0402-RES","10K","R1"
"","RESISTOR0603-RES","1k","R2"
"","RESISTOR0603-RES","1k","R3"
"","RESISTOR0603-RES","1k","R4"
"","RESISTOR0603-RES","1k","R6"
"","RESISTOR0603-RES","1k","R7"
"","RESISTOR0603-RES","1k","R8"
"","RESISTOR0603-RES (RESISTOR)","1K","R9"
"","RESISTOR0603-RES (RESISTOR)","1K","R10"
"","RESISTOR0402-RES","10K","R11"
"","RES_0402","","R4.7K2"
"","FT232RLSSOP (FT232RL)","","U2"
"","USB MICRO 609-4616-1","","U4"
"","JUMPER_2","","VCCGND"
"","RESONATORSMD","10k","Y1"
